# Formato de filas:
# EQUIPO,nombre,pais,presupuesto,nombreEntrenador,edadEnt,nacionEnt,estilo,exp,formacion
# JUGADOR,nombreEquipo,id,nombre,edad,nacion,posicion,ataque,defensa,energia,velocidad,valor
tipo,nombre,pais,presupuesto,nombreEntrenador,edadEnt,nacionEnt,estilo,exp,formacion

EQUIPO,Real Madrid,España,220.0,Alvaro Arbeloa,44,España,EQUILIBRADO,26,4-3-3
JUGADOR,Real Madrid,1,Thibaut Courtois,33,Bélgica,POR,83,91,80,65,80.0
JUGADOR,Real Madrid,2,Dani Carvajal,33,España,DEF,72,84,82,84,55.0
JUGADOR,Real Madrid,3,Eder Militao,26,Brasil,DEF,66,85,82,78,60.0
JUGADOR,Real Madrid,4,Antonio Rüdiger,32,Alemania,DEF,63,88,83,75,50.0
JUGADOR,Real Madrid,5,Dean Huijsen,20,España,DEF,65,83,81,76,55.0
JUGADOR,Real Madrid,6,Álvaro Carreras,22,España,DEF,70,80,82,84,45.0
JUGADOR,Real Madrid,7,Trent Alexander-Arnold,27,Inglaterra,DEF,80,82,84,82,90.0
JUGADOR,Real Madrid,8,Federico Valverde,26,Uruguay,MED,80,76,86,85,90.0
JUGADOR,Real Madrid,9,Aurélien Tchouaméni,25,Francia,MED,75,80,84,80,80.0
JUGADOR,Real Madrid,10,Eduardo Camavinga,22,Francia,MED,77,73,83,81,70.0
JUGADOR,Real Madrid,11,Jude Bellingham,22,Inglaterra,MED,88,72,88,84,150.0
JUGADOR,Real Madrid,12,Vinícius Jr,24,Brasil,DEL,91,46,89,96,120.0
JUGADOR,Real Madrid,13,Kylian Mbappé,26,Francia,DEL,93,58,91,97,200.0
JUGADOR,Real Madrid,14,Rodrygo,24,Brasil,DEL,84,46,84,88,70.0
JUGADOR,Real Madrid,15,Raúl Asencio,22,España,DEF,63,82,80,74,25.0

EQUIPO,FC Barcelona,España,190.0,Hansi Flick,60,Alemania,OFENSIVO,9,4-2-3-1
JUGADOR,FC Barcelona,16,Joan García,24,España,POR,80,86,77,62,35.0
JUGADOR,FC Barcelona,17,Jules Koundé,26,Francia,DEF,75,84,81,83,70.0
JUGADOR,FC Barcelona,18,Alejandro Balde,21,España,DEF,72,81,80,87,55.0
JUGADOR,FC Barcelona,19,Pau Cubarsí,18,España,DEF,66,83,80,74,50.0
JUGADOR,FC Barcelona,20,Ronald Araújo,26,Uruguay,DEF,66,87,82,74,70.0
JUGADOR,FC Barcelona,21,Pedri,22,España,MED,78,72,89,81,85.0
JUGADOR,FC Barcelona,22,Gavi,20,España,MED,75,73,87,81,70.0
JUGADOR,FC Barcelona,23,Marc Bernal,18,España,MED,74,70,83,79,35.0
JUGADOR,FC Barcelona,24,Frenkie de Jong,27,Países Bajos,MED,76,72,85,80,70.0
JUGADOR,FC Barcelona,25,Robert Lewandowski,36,Polonia,DEL,84,52,85,76,80.0
JUGADOR,FC Barcelona,26,Lamine Yamal,18,España,DEL,87,52,85,92,120.0
JUGADOR,FC Barcelona,27,Raphinha,28,Brasil,DEL,84,48,84,88,70.0
JUGADOR,FC Barcelona,28,Fermín López,22,España,MED,78,68,83,80,45.0
